"sample_id","x","y","zone","disease","epithelial","APC","CTL","Treg","T_helper"
"S001",6.98673470877111,7.23574312636629,"High","Condition_B",-0.756028845642157,-0.270021714720277,0.460258588865318,0.498277794610687,0.942628004110726
"S002",5.56530505884439,8.57857943512499,"High","Condition_A",-1.22319609351503,-2.0154503568434,-0.34321990000798,-0.551370706313321,-2.75366368282778
"S003",1.40139957657084,1.86255502980202,"Low","Condition_B",1.2188546734124,1.1625470879838,1.31017306841866,0.796272049134139,-0.818166904418932
"S004",2.85723306238651,6.32698122179136,"Intermediate","Condition_A",-0.275189191368147,0.0805627091401231,1.87025983225772,-1.75365910523481,-1.50340531995303
"S005",5.55369009962305,7.18115824507549,"High","Condition_B",0.224645703914474,-0.335555034110785,-0.353148737013188,1.38091333401823,1.15059998086088
"S006",0.251311503816396,5.4180660401471,"Low","Condition_A",-0.123831496538446,-0.8179914123866,-2.78446254171006,1.93578886363592,0.957784698487287
"S007",4.66230554971844,2.04712598351762,"Intermediate","Condition_A",0.931572534253588,0.900516701829093,-0.1386849526986,0.474282674380591,-0.0597581453092445
"S008",8.61010685097426,8.99988988647237,"High","Condition_B",-1.74376317375716,-1.59588428421909,-1.39727678925918,1.00274445614026,-0.373081001692045
"S009",2.52501178765669,1.23584329150617,"Low","Condition_B",0.934371350176425,1.22612624052787,0.315462327146681,-0.118205241487394,1.06290526075152
"S010",5.80806337296963,9.51546946307644,"High","Condition_B",-0.38843806999478,-0.916311823051811,0.297513679163372,-0.677669536561184,-0.235643884782154
"S011",0.0593325681984425,7.81715126009658,"Intermediate","Condition_A",-1.55497909671869,-1.14528000233773,-0.938528607231146,-0.185507867298471,-0.151831555137415
"S012",6.9186593987979,9.62135964771733,"High","Condition_A",-2.16428921340702,-1.33967136313039,-1.09021523807049,-0.446224327135495,-0.589621811342529
"S013",2.31125046964735,1.14251927705482,"Low","Condition_B",1.36721438271109,0.426499406069003,0.21873757372244,0.31302903969611,0.586777397343036
"S014",8.48532462259755,9.7755213920027,"High","Condition_A",-1.6957044920912,-2.12008753996571,-0.58516525381607,-0.596021562206742,-2.29668445463022
"S015",1.53835240751505,6.20469501707703,"Intermediate","Condition_B",-0.113088270174104,-0.241938298758687,-0.434222575570813,-0.579488811253053,1.39866189497611
"S016",3.56809314806014,9.27427265560254,"High","Condition_B",-0.64512425987359,-1.12050393836647,-0.393170795372242,0.741071093737287,-0.412813993117943
"S017",5.4520450416021,2.02236712910235,"Intermediate","Condition_B",1.27087784222407,1.82835661169736,1.33283784614966,-0.947704703587873,0.982727157607756
"S018",0.0119761377573013,2.15529181761667,"Low","Condition_A",1.39192183905103,0.623307914722977,0.258122136495061,-0.227792794933161,-0.821023722870725
"S019",3.17824489902705,9.21925222733989,"High","Condition_B",-1.12063441156334,-2.01697798068507,-1.7498742049596,-0.290370940026445,-1.30425280164701
"S020",0.172893537674099,7.22115550888702,"Intermediate","Condition_B",-0.303120425286997,-0.280683367699123,0.415340433444958,1.04619895128505,0.822063932896847
"S021",3.41558025917038,7.61701388284564,"Intermediate","Condition_B",-0.353154503695527,-1.10382041947095,-2.70836951943687,1.80964326984759,0.192993710556273
"S022",3.43438799958676,2.85277450690046,"Low","Condition_B",1.54540633250878,1.14775941232809,0.817769058162492,0.706435207302251,1.00096613203105
"S023",2.32562693301588,3.43658880796283,"Low","Condition_B",0.160025517479065,0.995555852220244,0.969415130851697,-2.20639915658846,-1.22530257237415
"S024",0.613688277080655,3.4139341651462,"Low","Condition_A",0.247341435341328,0.34489903355247,1.81438366422783,-1.2617174652418,0.182233925880687
"S025",4.12376251770183,7.87959796842188,"High","Condition_B",-0.697125112071849,-1.51844193948788,-0.807058428903029,1.12208712671227,-0.738166071150427
"S026",1.85512177180499,3.64499991061166,"Low","Condition_B",0.545821139822682,0.662235906426029,0.344889066773733,1.21983287921669,-0.582078893380288
"S027",4.10672063706443,6.65122555103153,"Intermediate","Condition_A",-0.495412541589444,-0.809165585556359,0.451244359279434,-2.23788226572853,-0.568660917424101
"S028",1.40080855693668,3.72811760054901,"Low","Condition_B",0.735005203500363,0.493988619031756,0.673973288179464,-2.1103011787936,-0.390311440110743
"S029",0.0543451681733131,1.21020869351923,"Low","Condition_B",1.06812294459957,1.21283356229296,0.505276810283516,-1.03328402636259,-0.301644376719798
"S030",6.0173881566152,8.30846520140767,"High","Condition_B",-1.25171166212166,-1.73428466908786,-1.032435850192,-1.18581904085201,-0.948100650865537
"S031",9.1101012728177,4.18317282339558,"High","Condition_B",-1.15337873085968,0.00861704335026755,0.410134510024563,-0.117963856977095,-1.4691413838266
"S032",1.75362783949822,0.820313354488462,"Low","Condition_B",0.825665070764953,0.548936440229264,-0.815986357062124,1.17760829585228,2.2984069499918
"S033",7.31187413213775,1.76027595764026,"Intermediate","Condition_B",0.417667620075786,-0.461838862919085,0.459348564346247,1.4359449372068,-1.5974981908349
"S034",0.161572096403688,1.80961137171835,"Low","Condition_B",0.757174447447387,0.950501022605211,-0.0430489869134133,0.492277563913061,0.891542888011146
"S035",5.86115716258064,6.73427552683279,"High","Condition_A",-1.34141948907528,-0.146062251068113,-0.0109420308419321,-0.902492321321295,-0.503936303749106
"S036",4.25818428397179,6.06995479902253,"Intermediate","Condition_A",0.683734089837278,0.163894224733998,0.398855528204607,1.44280547893473,-0.369141110581558
